,machine-learning,rating
0,It would be better if it would have been done in Python,4
1,"Overall the course is great and the instructor is awesome. Machine learning is fascinating and I now feel like I have a good foundation.  A few minor comments: some of the projects had too much helper code where the student only needed to fill in a portion of the algorithm.  I would have preferred to have worked through more of the code. Also, there were a few times when the slides didn't contain the complete equations so it was difficult to piece it all together when writing the code.  Lastly, I wish that there was more coverage on vectorized solutions for the algorithms.",4
2,"This is an extremely basic course. Machine learning is built on mathematics, yet this course treats mathematics as a mysterious monster to be avoided at all costs, which unfortunately left this student feeling frustrated and patronized. So much time is wasted in the videos with arduous explanations of trivialities, and so little taken up with the imparting of meaningful knowledge, that in the end I abandoned the videos altogether. The quizes were basic (largely based on recall of, rather than application of knowledge), as were the programming assignments (nearly all of which were spoon-fed, with the tasks sometimes being simple as multiplying two matrices together).",1
3,"I've never expected much from an online course, but this one is  just Great!",5
4,I am Vietnamese who weak in English. To learn this course I have to choose playback rate 0.75.,5
5,Excellent starting course on machine learning. Beats any of the so called programming books on ML. Highly recommend this as a starting point for anyone wishing to be a ML programmer or data scientist.,5
6,It is the best online course for any person wanna learn machine learning. Andrew sir teaches very well. His pace is very good. The insights which you will get in this course turns out to be wonderful. ,5
7,"Sub title should be corrected. Since I'm not that good in English but I know when there're mis-traslated or wrong sub title. If you fix this problems , I thin it helps many students a lot. Thanks!!!!!",5
8,"The course covers a lot of material, but in a kind-of chaotic manner. There is a lot of math, so if you're not familiar with linear algebra you may find it really difficult. Personally, I don't quite understand the approach. The goal of this course seems to be to teach people how the algorithms work, and if so - there is just enough math, for the students to get lost, but not enough of it to truly understand what's going on internally in the algorithms. ",3
9,It would be ideal course if instead of octave pyhon or r is used,5
10,"This course has of course (pun intended) built a formidable reputation for itself since it was laucnhed. I took the course in 2019 when it had been around for a few years and so what I am saying here may resonate with a lot of people who have taken the course before me. ""Concretely""(!), Prof Ng takes the student on a very well structured journey that covers the vast canvas of ML, explaining not just the theoretical aspects but also laying equal empahsis on the pratical aspets like debugging or choosing the right approach to solving a ML problem or deciding what to do first / next. At that level this course is highly recomended by me as the first course in ML that anyone should take. I do have a suggestion to make regarding how some of the portions could have been explained more lucidly. These are portions that pertain entirely to the mathematics and programming problems, where I struggled for days and (for back propogation) for months before realising that maybe the explanation given in the slide wasn't clear enough and at times i just needed to try really random ideas to get out of the programmin rut that I was stuck in. An advise for anyone doing the course would be to write down the matrices in full detail and do the transformations of cost fucntion and gradient descent or back prop using pen and paper and attempt to write the code for it only after once one is clear about the exact mathematical operation happening. Thank you, Prof Ng for gifting this course to the online learners community and I would also like to thank the mentors who have replied to the queries patiently while stadfastly enforcing the honour code.",4
11,"Everything is taught from basics, which makes this course very accessible- still requires effort, however will leave you with real confidence and understanding of subjects covered. Great teacher too..",5
12,The course is ok but the certification procedure is a mess!,1
13,"I just started week 3 , I have to admit that It is a good course explaining the ideas and hypnosis of machine learning . The instructor takes your hand step by step and explain the idea very very well.",1
14,"You need to know, what do you want to get out of this course. It gives you a lot of information, but be prepared to work hard with linear algeabra and make efforts to compute things in Mathlab/Octave. ",5
