Please specify your campus,Please specify your programme,1 - Did the class meet your expectations?,Please share your comments,2 - Was the professor's quality of expression good?,Please share your comments,3 - Was the class content clearly expressed?,Please share your comments,4 - Did the professor answer your questions clearly?,Please share your comments,5 - What do you think of the class difficulty?,Please share your comments,6 - What did you most appreciate about the professor's class?,7 - What did you least appreciate about the professor's class?,8 - What are the main take-aways (what did you learn)?,9 - Did the professor explain why the class is important for the DSTI programme?,Please share your comments,10 -  Is there anything you would have liked to have seen during the class that wasn’t covered?,"11 -Thank you for your reply, if you have any other comment please state them below"
Off-campus,Applied MSc in Data Engineering for AI,"Yes, absolutely",It was well explained,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Hard,,His broad perspective and transversal examples,Sometimes it was hard to follow because of the statistical technical words,"Ways of representing statiscally explainable data conclusions, how to use R, relationship between possible outcomes in random experiments, how to explain those outcomes mathematically","Yes, partially",,How to approach data complex problems through a statiscal point of view,
Paris,Applied MSc in Data Science & AI,"Yes, partially",Weren't able to cover all that was in the pdf.,"Yes, absolutely",,"Yes, partially",I feel that understanding the concept through R felt easier. I also feel that some of the other content could use more simple examples (like the 3 prisoners) to make it easier to understand. Preparation was great.,"Yes, absolutely",,Average,Will find out when the quizzes come.,Tries to explain it and keep it simple.,Nothing really. Maybe more of the hypothesis stuff will be covered in another class.,"concepts such as mean (expected value), covariance, correlation,  some applications in R","Yes, partially",,whatever is left that was not covered. maybe on the 2nd of December.,
Off-campus,Applied MSc Data Analytics,"No, it wasn't clear","It was a statistics discovery, I would have appreciated to learn some basics, I had the feeling we went through tuff theroems straight away","Yes, absolutely",,"No, it wasn't clear",If you don't have a strong background of mathematics it's very hard,"Yes, partially",,Very hard,It depends on your scientist background I guess,Non applicable,Calculations with no explanations,No comment,"No, it wasn't clear",,"Basics of statistics, use of each calculation, logic behind it",Sorry about this survey but this class was very desappointing for me. It was very hard to follow and understand and the level was really high from my point of view. We can discuss about if later if you wish to.
Sophia,Applied MSc Data Analytics,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,,The pedagogy of the professor. The way he treated subjects from easiest to hardest. ,Lack of time. I would have liked more real world application in class ,"Descriptive statistics, probability theory, random variables, multiple random variables ","Yes, absolutely",,"No, I liked the course very much ",Still happy to be part of DSTI family! 
Paris,Applied MSc Data Analytics,"Yes, partially",,"Yes, absolutely",,"Yes, partially",,"Yes, partially",,Hard,,"The PDF was complete, it had the formulas, some examples and solutions ",I would have appreciated more examples et more explanations. Some exercises weren’t fully covered and sometimes we skipped some formulas and slides that we don’t have to know and then go back some slides before ans it’s kind of confusing,We learned how data is distributed and which informations some indicators may give us. We learned to study the relationship between values and how to « read the data ». ,"Yes, partially",,More and more examples and exercises with their solutions. Maybe some step by step explanations on the blackboard would be better to understand ,
Sophia,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, absolutely",,"Yes, partially",,"Yes, partially",,Hard,The notation used during class are sometimes differents that the ones used in the book. So small researches are needed. ,The few concrete examples used. ,- The lack of diversity in the examples used.,"- Conditional probability
- Independance of events
- Functions of random variables","Yes, partially",,No,"What could be better for this course is to have real exercices. There are examples shown during the course, not exercice type. We have to check on the book ""Probability and Statistics for computer scientists"" for exercices, but without the correction detailed. For some kind of problems, it can tough to know how some results are computed."
Off-campus,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, partially",,"Yes, partially",,"Yes, partially",,Average,,he gave to reference of the book used for his class. So I used it to beter understand,I don't know R and the first class was just a mixed up of stuff with R,"probabilty, random discrete and continuous varaible","Yes, absolutely",,No,
Paris,Applied MSc in Data Science & AI,"Yes, partially",the class had all the probability so it was FSML,"Yes, absolutely",the professor was clear,"Yes, absolutely","yes,the professor connected very well the dots from axioms to practical results","Yes, absolutely",the professor answered all the questions,Average,the class is average it can be easy if we had a long list of exercices,everything except that there is not so mush exercices ,"no exercices, we needed more exercices to work on.",probability in english,"Yes, absolutely",the class is important for statistical inference,more exercices,
Off-campus,Applied MSc in Data Science & AI,"Yes, partially",I think if you do not  have pervious knowledge in Stats and Probability you would be a bit Lost!,"Yes, partially",,"Yes, partially",Not all the part !,"Yes, partially",,Average,,He tried making the course more applied (practicalsetting )than theoretical,Something when explaining something he kinda contradict himself hence confusing us a bit. He does not finish his statement and he suddenly jumps to into another  example.,"I got more insight to EDA. eg Using IQR  preferably over  variance, The median instead of mean , etc ","Yes, absolutely",,Not really for part 1,
Paris,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, partially","The professor speech isn't ""captivating""","No, it wasn't clear","the slide doesn't contain enough informations to explain, making them relatively useless compared to the textbook.","Yes, partially",,Hard,"The class it self isn't that hard per se, but for some reason it was hard to focus. So sometime I lost track. Maybe it is the effect of lockdown; but Applied math was easier to remain focus on.",the textbook,"the class, At some point it was more efficient to simply read the textbook and leave the class as background noise.",Random variables and distributions.,"Yes, absolutely",,-,
